Dollar,ResidentHouseholds_Average,ResidentHouseholds_Median1,ResidentEmployedHouseholds_Average,ResidentEmployedHouseholds_Median1
2000,1586,1125,1735,1236
2001,1792,1250,1925,1352
2002,1713,1189,1883,1320
2003,1724,1187,1909,1335
2004,1727,1183,1916,1331
2005,1812,1235,2013,1392
2006,1936,1300,2127,1447
2007,2136,1399,2337,1547
2008,2364,1588,2586,1754
2009,2283,1552,2524,1735
2010,2425,1638,2709,1848
2011,2652,1786,2925,1994
2012,2852,1913,3142,2127
2013,2902,2023,3204,2247
2014,3061,2115,3418,2380
2015,3273,2253,3624,2500
2016,3289,2287,3688,2584
2017,3383,2344,3835,2699
2018,3488,2425,3969,2792
2019,3571,2500,4115,2925
2020,3488,2463,4022,2886
2021,3676,2652,4166,3027
2022,3917,2843,4478,3287
2023,4100,3020,4699,3500
